Employee ID,Employee Name,Role,Employment Type,Region,Photo
1,Bob Johnson,Account Executive,Contractor,North America,https://i.postimg.cc/85Kxh0Cd/1.png
2,Carol Lee,Director,Full Time,North America,https://i.postimg.cc/J0SgFHZG/2.png
3,David Brown,Account Executive,Full Time,North America,https://i.postimg.cc/VkQpBMzh/3.png
4,Emily Clark,Data Analyst,Full Time,North America,https://i.postimg.cc/X7fSPx1W/8.png
5,Frank Miller,Director,Full Time,EMEA,https://i.postimg.cc/yNnGHb0q/4.png
6,Grace Harris,Account Executive,Contractor,EMEA,https://i.postimg.cc/vZ0jRKWJ/10.png
7,Sarah Green,Account Executive,Full Time,EMEA,https://i.postimg.cc/fy728qzg/9.png
8,James White,Account Executive,Full Time,LATAM,https://i.postimg.cc/sXN0BGnw/5.png
9,Emily Brown,Marketing Specialist,Contractor,LATAM,https://i.postimg.cc/J7j270Nc/11.png
10,Mark Johnson,Director,Full Time,LATAM,https://i.postimg.cc/h4JK2Lq4/6.png
11,Karen White,Account Executive,Contractor,Asia,https://i.postimg.cc/VL1HJw4y/12.png
12,John Miller,Director,Full Time,Asia,https://i.postimg.cc/CKPVN1Pf/7.png
